from,to,cost
1014661,1014661,0
1014661,1014662,136.863
1014661,1014861,443.732
1014661,1014862,922.543
1014661,1014871,443.732
1014661,1014872,136.863
1014661,1014971,922.543
1014661,1014972,731.043
1014661,1015901,136.863
1014661,1015902,377.535
1014661,1016041,4706.78
1014661,1016042,4666.86
1014661,1016111,2321.99
1014661,1016112,2594.95
1014661,1016191,1690
1014661,1016192,731.043
1014661,1016201,1690
1014661,1016202,2081.16
1014661,1016261,377.535
1014661,1016262,731.043
1014661,1016811,3751.57
1014661,1016812,4240.07
1014661,1017341,4529.32
1014661,1017342,4240.07
1014661,1017351,4529.32
1014661,1017352,4666.86
1014661,1017391,3076.96
1014661,1017392,2594.95
1014661,1017411,3472.36
1014661,1017412,3554.8
1014661,1017441,2594.95
1014661,1017442,2081.16
1014661,1017451,2594.95
1014661,1017452,2961.57
1014661,1017531,4240.07
1014661,1017541,4240.07
1014661,1017542,3725.79
1014661,1017551,2081.16
1014661,1017552,2243.56
1014661,1017911,4666.86
1014661,1017912,4747.6
1014661,1018111,2243.56
1014661,1018112,2961.57
1014661,1018121,2243.56
1014661,1018122,3427.76
1014661,1018301,4429.38
1014661,1018302,3845.9
1014661,1018311,4429.38
1014661,1018312,4882.58
1014661,1018441,3725.79
1014661,1018442,3845.9
1014661,1018451,3725.79
1014661,1018452,3472.36
1014661,1018721,3845.9
1014661,1018722,3554.8
1014661,1018731,3845.9
1014661,1018732,4276.07
1014661,1018891,3398.21
1014661,1018892,3554.8
1014661,1018901,2961.57
1014661,1018902,3452.45
1014661,1019451,3398.21
1014661,1019452,3452.45
1014661,1019461,3554.8
1014661,1019462,3974.59
1014661,1019761,4892.36
1014661,1019762,4276.07
1014661,1020361,4276.07
1014661,1020362,3974.59
1014661,1020371,4276.07
1014661,1020372,4595.84
1014661,1020561,3452.45
1014661,1020562,3685.71
1014661,1020571,3452.45
1014661,1020572,3544.69
1014661,1020821,3974.59
1014661,1020822,3685.71
1014661,1020831,3974.59
1014661,1020832,4645.36
1014661,1021601,3544.69
1014661,1021602,3427.76
1014661,1021781,3427.76
1014661,1021782,3709.52
1014661,1058031,738.431
1014661,1058032,443.732
1014661,1058051,3412.74
1014661,1058052,3725.79
1014662,1014661,136.863
1014662,1014662,0
1014662,1014861,461.116
1014662,1014862,834.104
1014662,1014871,461.116
1014662,1014872,461.116
1014662,1014971,834.104
1014662,1014972,596.492
1014662,1015901,240.699
1014662,1015902,240.699
1014662,1016041,4573.74
1014662,1016042,4533.63
1014662,1016111,2196.57
1014662,1016112,2459.57
1014662,1016191,1562.49
1014662,1016192,596.492
1014662,1016201,1562.49
1014662,1016202,1944.44
1014662,1016261,240.699
1014662,1016262,596.492
1014662,1016811,3623.41
1014662,1016812,4107.71
1014662,1017341,4398.21
1014662,1017342,4107.71
1014662,1017351,4398.21
1014662,1017352,4533.63
1014662,1017391,2943.01
1014662,1017392,2459.57
1014662,1017411,3335.56
1014662,1017412,3417.94
1014662,1017441,2459.57
1014662,1017442,1944.44
1014662,1017451,2459.57
1014662,1017452,2824.82
1014662,1017531,4107.71
1014662,1017541,4107.71
1014662,1017542,3589.88
1014662,1017551,1944.44
1014662,1017552,2106.79
1014662,1017911,4533.63
1014662,1017912,4613.43
1014662,1018111,2106.79
1014662,1018112,2824.82
1014662,1018121,2106.79
1014662,1018122,3298.85
1014662,1018301,4295.08
1014662,1018302,3709.47
1014662,1018311,4295.08
1014662,1018312,4746.44
1014662,1018441,3589.88
1014662,1018442,3709.47
1014662,1018451,3589.88
1014662,1018452,3335.56
1014662,1018721,3709.47
1014662,1018722,3417.94
1014662,1018731,3709.47
1014662,1018732,4139.26
1014662,1018891,3261.39
1014662,1018892,3417.94
1014662,1018901,2824.82
1014662,1018902,3317.57
1014662,1019451,3261.39
1014662,1019452,3317.57
1014662,1019461,3417.94
1014662,1019462,3838.58
1014662,1019761,4756.15
1014662,1019762,4139.26
1014662,1020361,4139.26
1014662,1020362,3838.58
1014662,1020371,4139.26
1014662,1020372,4459.54
1014662,1020561,3317.57
1014662,1020562,3552.05
1014662,1020571,3317.57
1014662,1020572,3413.2
1014662,1020821,3838.58
1014662,1020822,3552.05
1014662,1020831,3838.58
1014662,1020832,4512.23
1014662,1021601,3413.2
1014662,1021602,3298.85
1014662,1021781,3298.85
1014662,1021782,3582.58
1014662,1058031,762.846
1014662,1058032,461.116
1014662,1058051,3279.59
1014662,1058052,3589.88
1014861,1014661,443.732
1014861,1014662,461.116
1014861,1014861,0
1014861,1014862,664.187
1014861,1014871,461.116
1014861,1014872,461.116
1014861,1014971,664.187
1014861,1014972,779.936
1014861,1015901,461.116
1014861,1015902,579.978
1014861,1016041,4613.47
1014861,1016042,4576.3
1014861,1016111,2177.06
1014861,1016112,2558.33
1014861,1016191,1579.4
1014861,1016192,779.936
1014861,1016201,1579.4
1014861,1016202,2097.74
1014861,1016261,579.978
1014861,1016262,779.936
1014861,1016811,3611.97
1014861,1016812,4140.48
1014861,1017341,4413.61
1014861,1017342,4140.48
1014861,1017351,4413.61
1014861,1017352,4576.3
1014861,1017391,3008.29
1014861,1017392,2558.33
1014861,1017411,3476.6
1014861,1017412,3570.43
1014861,1017441,2558.33
1014861,1017442,2097.74
1014861,1017451,2558.33
1014861,1017452,3001.2
1014861,1017531,4140.48
1014861,1017541,4140.48
1014861,1017542,3690.04
1014861,1017551,2097.74
1014861,1017552,2291.83
1014861,1017911,4576.3
1014861,1017912,4670.73
1014861,1018111,2291.83
1014861,1018112,3001.2
1014861,1018121,2291.83
1014861,1018122,3588.58
1014861,1018301,4356.17
1014861,1018302,3825.74
1014861,1018311,4356.17
1014861,1018312,4846.59
1014861,1018441,3690.04
1014861,1018442,3825.74
1014861,1018451,3690.04
1014861,1018452,3476.6
1014861,1018721,3825.74
1014861,1018722,3570.43
1014861,1018731,3825.74
1014861,1018732,4300.42
1014861,1018891,3427.85
1014861,1018892,3570.43
1014861,1018901,3001.2
1014861,1018902,3542.8
1014861,1019451,3427.85
1014861,1019452,3542.8
1014861,1019461,3570.43
1014861,1019462,4036.42
1014861,1019761,4858.84
