tsdlinkid,avgspeed
1000041,50
1000042,50
1000051,50
1000052,50
1000061,50
1000062,50
1000071,50
1000072,50
1000091,50
1000092,50
1000121,50
1000122,50
1000131,30
1000132,30
1000141,50
1000142,50
1000151,30
1000152,30
1000161,50
1000162,50
1000171,34
1000172,30
1000191,30
1000192,30
1000201,50
1000202,50
1000211,40
1000212,40
1000221,34
1000222,34
1000241,30
1000242,30
1000251,30
1000252,30
1000261,30
1000262,30
1000271,30
1000272,30
1000281,30
1000282,30
1000291,50
1000292,50
1000301,30
1000302,30
1000311,30
1000312,30
1000321,30
1000322,30
1000331,52
1000332,50
1000351,40
1000352,40
1000361,30
1000362,30
1000371,30
1000372,30
1000381,30
1000382,30
1000391,30
1000392,30
1000401,30
1000402,30
1000411,30
1000412,30
1000421,50
1000422,50
1000431,30
1000432,30
1000441,30
1000442,30
1000461,50
1000462,50
1000471,49
1000472,48
1000481,50
1000482,50
1000491,50
1000492,50
1000501,50
1000502,50
1000511,50
1000512,50
1000551,50
1000552,50
1000561,50
1000562,50
1000571,50
1000572,50
1000581,30
1000582,30
1000591,50
1000592,50
1000601,50
1000602,50
1000611,50
1000612,50
1000621,50
1000622,50
1000631,44
1000632,43
1000641,30
1000642,30
1000651,50
1000652,50
1000661,50
1000662,50
1000681,50
1000682,50
1000691,50
1000692,50
1000701,40
1000702,40
1000711,30
1000712,30
1000721,31
1000722,30
1000741,43
1000742,43
1000751,50
1000752,50
1000761,50
1000762,50
1000771,30
1000772,30
1000781,50
1000782,50
1000791,50
1000792,50
1000801,36
1000802,36
1000811,50
1000812,50
1000821,50
1000822,50
1000831,50
1000832,50
1000841,50
1000842,49
1000851,50
1000852,50
1000861,30
1000862,30
1000871,50
1000872,50
1000901,50
1000902,50
1000911,60
1000912,59
1000921,30
1000922,30
1000931,50
1000932,50
1000941,50
1000942,50
1000951,30
1000952,30
1000961,50
1000962,50
1000981,30
1000982,30
1000991,50
1000992,50
1001001,50
1001002,50
1001011,30
1001012,30
1001021,29
1001022,30
1001031,40
1001032,40
1001051,30
1001052,30
1001061,50
1001062,50
1001071,50
1001072,50
1001081,35
1001082,35
1001091,30
1001092,30
1001101,50
1001102,50
1001111,30
1001112,30
1001121,50
1001122,50
1001131,50
1001132,50
1001141,30
1001142,30
1001151,30
1001152,30
1001161,50
1001162,50
1001171,30
1001172,30
1001181,50
1001182,50
1001191,30
1001192,30
1001201,30
1001202,30
1001211,30
1001212,30
1001221,50
1001222,50
1001231,30
1001232,30
1001251,30
1001252,30
1001261,30
1001262,30
1001271,50
1001272,50
1001281,50
1001282,50
1001291,30
1001292,30
1001301,50
1001302,50
1001311,50
1001312,50
1001321,50
1001322,50
1001331,50
1001332,50
1001341,30
1001342,30
1001351,40
1001352,40
1001361,30
1001362,30
1001391,30
1001392,30
1001401,50
1001402,50
1001411,30
1001412,30
1001421,50
1001422,50
1001431,30
1001432,30
1001441,30
1001442,30
1001451,30
1001452,30
1001461,50
1001462,50
1001471,30
1001472,30
1001481,30
1001482,30
1001491,50
1001492,50
1001501,30
1001502,30
1001511,30
1001512,30
1001521,50
1001522,50
1001531,30
1001532,30
1001541,50
1001542,50
1001551,50
1001552,50
1001561,50
1001562,50
1001581,50
1001582,50
1001591,50
1001592,50
1001601,50
1001602,50
1001621,50
1001622,50
1001631,30
1001632,30
1001641,50
1001642,50
1001651,30
1001652,30
1001661,32
1001662,31
1001671,30
1001672,30
1001681,30
1001682,30
1001691,30
1001692,30
1001701,50
1001702,50
1001711,49
1001712,50
1001721,30
1001722,30
1001731,30
1001732,30
1001741,30
1001742,30
1001751,50
1001752,50
1001761,50
1001762,50
1001771,34
1001772,34
1001811,30
1001812,30
1001821,50
1001822,50
1001831,30
